0 512 -1564 131 478 -670 -292
1 511 -1565 132 474 -671 -295
2 516 -1562 134 472 -674 -297
3 513 -1563 136 474 -670 -294
4 512 -1563 137 471 -673 -294
5 516 -1562 136 473 -670 -290
6 512 -1563 135 471 -674 -296
7 513 -1562 132 473 -669 -291
8 514 -1563 133 470 -672 -299
9 509 -1566 133 469 -674 -298
10 510 -1561 132 467 -677 -297
11 512 -1562 130 470 -676 -297
12 509 -1564 132 467 -676 -299
13 511 -1563 133 470 -673 -300
14 510 -1565 132 469 -675 -295
15 508 -1565 131 465 -675 -295
16 508 -1568 131 466 -674 -299
17 506 -1566 132 468 -674 -300
18 508 -1566 133 467 -673 -296
19 510 -1562 128 471 -672 -299
20 510 -1565 129 473 -674 -295
21 513 -1565 130 474 -672 -296
22 510 -1565 132 475 -674 -295
23 508 -1564 132 474 -671 -296
24 510 -1563 133 470 -671 -293
25 516 -1562 133 472 -670 -293
26 513 -1564 133 475 -670 -292
27 508 -1562 134 473 -669 -296
28 514 -1561 133 471 -670 -291
29 512 -1566 133 470 -672 -293
30 511 -1563 132 472 -671 -295
31 512 -1564 135 468 -674 -296
32 514 -1562 134 471 -675 -295
33 511 -1563 133 471 -675 -297
34 512 -1563 133 471 -671 -294
35 512 -1566 137 469 -675 -296
36 510 -1564 132 470 -674 -296
37 512 -1564 134 468 -674 -298
38 512 -1565 131 468 -674 -297
39 507 -1564 130 469 -673 -296
40 508 -1564 132 475 -673 -296
41 509 -1563 134 469 -673 -296
42 511 -1563 133 470 -673 -296
43 512 -1565 136 470 -669 -293
44 513 -1560 135 471 -669 -293
45 510 -1563 133 473 -674 -299
46 511 -1564 132 472 -672 -297
47 510 -1564 132 472 -673 -292
48 511 -1560 135 471 -674 -294
49 512 -1562 134 476 -670 -293
50 514 -1562 137 471 -670 -292
51 511 -1563 135 471 -673 -293
52 513 -1564 133 470 -674 -294
53 511 -1565 133 471 -674 -294
54 512 -1564 133 471 -674 -296
55 511 -1562 132 471 -676 -295
56 509 -1563 136 468 -671 -295
57 510 -1565 131 470 -673 -293
58 511 -1562 133 470 -673 -296
59 511 -1563 133 471 -672 -293
60 510 -1560 132 467 -675 -292
61 509 -1560 134 468 -673 -293
62 511 -1562 132 467 -673 -295
63 508 -1564 133 470 -673 -293
64 510 -1566 133 472 -674 -295
65 508 -1562 134 471 -669 -297
66 512 -1566 132 471 -670 -295
67 508 -1564 136 474 -672 -294
68 514 -1565 133 474 -669 -293
69 512 -1562 134 470 -670 -290
70 513 -1564 135 472 -672 -293
71 515 -1562 135 471 -668 -295
72 513 -1560 134 470 -671 -293
73 513 -1561 134 475 -670 -295
74 512 -1563 136 472 -671 -292
75 512 -1564 136 473 -674 -295
76 514 -1562 135 471 -674 -295
77 511 -1564 132 472 -673 -296
78 513 -1563 133 468 -671 -296
79 510 -1562 132 470 -673 -296
80 512 -1567 131 471 -675 -296
81 514 -1562 134 469 -673 -297
82 514 -1563 132 471 -674 -295
83 512 -1565 133 470 -673 -296
84 510 -1565 134 473 -670 -293
85 508 -1562 132 473 -669 -294
86 512 -1565 134 470 -668 -294
87 512 -1567 132 477 -670 -293
88 512 -1561 135 473 -668 -294
89 512 -1565 132 476 -672 -292
90 514 -1565 135 478 -669 -291
91 514 -1561 137 471 -669 -294
92 511 -1559 135 473 -669 -293
93 514 -1562 135 474 -670 -293
94 510 -1561 135 471 -672 -294
95 513 -1561 136 473 -673 -298
96 515 -1562 138 471 -669 -294
97 513 -1561 136 473 -675 -292
98 510 -1563 133 473 -673 -295
99 515 -1562 135 471 -669 -296
100 514 -1559 135 473 -671 -293
101 514 -1561 136 473 -671 -295
102 511 -1562 135 473 -673 -293
103 513 -1559 133 472 -672 -295
104 514 -1562 135 473 -674 -293
105 511 -1560 136 468 -673 -295
106 513 -1564 134 471 -670 -293
107 514 -1563 132 473 -672 -294
108 514 -1562 135 475 -669 -295
109 512 -1561 133 475 -669 -295
110 511 -1564 136 475 -670 -292
111 511 -1566 134 475 -672 -294
112 512 -1563 133 473 -668 -294
113 512 -1565 133 472 -668 -294
114 514 -1564 134 473 -669 -293
115 510 -1561 135 470 -671 -293
116 515 -1563 133 471 -672 -295
117 512 -1564 134 471 -668 -294
118 512 -1563 135 470 -671 -294
119 512 -1560 135 473 -671 -293
120 516 -1559 134 472 -672 -293
121 514 -1560 134 469 -667 -291
122 513 -1562 132 470 -669 -293
123 512 -1563 134 474 -674 -294
124 511 -1562 135 470 -675 -296
125 512 -1565 133 468 -671 -296
126 510 -1562 134 471 -671 -295
127 509 -1558 131 471 -668 -291
128 510 -1566 133 470 -671 -294
129 510 -1562 134 472 -671 -292
130 510 -1564 136 473 -667 -293
131 511 -1565 134 474 -669 -294
132 514 -1568 133 473 -670 -291
133 513 -1563 136 473 -668 -291
134 513 -1561 133 473 -670 -295
135 513 -1561 133 470 -671 -294
136 514 -1559 136 473 -670 -292
137 512 -1567 134 470 -671 -294
138 512 -1559 135 472 -670 -292
139 512 -1560 138 469 -672 -294
140 513 -1564 131 471 -673 -296
141 512 -1563 136 471 -669 -293
142 512 -1565 135 474 -672 -295
143 512 -1561 130 471 -674 -295
