142.9109 11.0510 -48.6918 54.5433 -6.3869 -12.3207 -2.1526 -6.3289 -35.5904 -27.8252 -2.4119 -10.6941 -3.1722 -36.8494 -13.3778 -2.6283 2.1113 0.6346
63.1912 -68.3057 -55.4475 55.8662 -1.2683 0.0340 0.0422 0.2212 -2.5884 0.3235 15.6775 -0.0000 -25.9525 -53.8040 2.1342 -0.7821 -2.0468 -0.9513
85.9978 -48.8137 -4.4777 25.6448 -1.3136 0.7134 -0.1266 -0.3573 -6.4710 -5.1768 -26.5311 0.7291 -11.4989 -32.4971 1.4975 -4.3363 -0.1013 0.0956
118.9121 -21.2819 -7.0452 28.1645 -3.2614 -45.4327 -1.8150 9.0255 5.8239 22.6484 30.1490 -0.7291 0.6190 -33.8312 -6.3221 -3.7491 2.2838 0.5797
91.9922 20.3037 28.8414 23.8778 -0.0000 -0.0000 0.0000 -0.0000 -0.0000 -0.0000 -2.4119 -0.0000 9.7378 -50.4031 1.2005 -1.0936 3.8055 0.1663
86.1786 -14.9744 -33.9971 23.4440 -1.0871 -1.9817 1.1396 1.1399 -20.7071 -4.8532 9.6477 3.1596 -7.4952 -32.1505 3.9528 -4.4279 0.5678 0.1816
106.1838 -23.2957 11.1758 29.3007 -5.1185 -10.5202 3.1656 -0.1616 20.7071 -8.4123 -1.2060 0.7291 4.1622 -34.8255 -2.3967 -3.6167 2.7037 0.6425
133.6317 42.4837 -3.2368 21.6880 0.7247 -0.0000 -0.2533 -0.3658 4.5297 -0.0000 -1.2060 -1.4583 8.5270 -48.9854 -8.0158 -1.1530 4.0585 0.2303
126.5236 -82.3859 22.9779 32.3742 0.3850 -0.2265 2.7858 -0.1361 1.9413 -0.6471 -9.6477 -0.0000 -17.8324 -35.5820 -1.6348 -3.6532 -1.1294 -0.0874
69.6018 15.5971 27.6344 12.4687 -0.1812 0.4756 1.0552 -0.9613 -14.2361 0.9706 1.2060 0.7291 7.8745 -48.5418 7.1155 -1.5122 3.4027 0.0919
99.6956 -30.3614 -33.5997 66.4273 -3.8276 14.6082 -14.6886 0.0170 -1.2942 0.3235 63.9159 -0.0000 -11.1930 -32.4365 -0.4453 -3.7224 0.0913 0.5306
105.5940 28.7479 16.7083 30.1963 -0.0906 2.3441 0.2110 1.6333 -6.4710 11.3242 6.0298 15.7980 9.6872 -49.6518 -2.6309 -1.1319 3.9335 0.2450
94.8657 29.0487 -21.3677 39.5061 -1.4495 -0.5775 1.9416 0.1276 -1.9413 2.2648 6.0298 0.2430 7.7843 -38.7297 0.7486 -2.9775 3.1510 0.6744
116.6038 30.0843 5.0908 27.7019 7.6099 2.1290 -0.3377 0.0681 -14.8832 -4.5297 -12.0596 0.4861 9.7292 -46.6682 -5.6491 -1.5722 3.9829 0.3463
136.5400 1.9096 -34.0459 20.6215 -24.8453 -38.2418 13.4645 0.6805 -15.5303 -20.0600 3.6179 -0.2430 -2.9705 -36.6138 -12.4351 -3.2438 2.0414 0.3133
