	joint1[rad] joint0[rad] joint2[rad] joint3[rad] x[m] y[m] z[m] 
  1.52  6.20  0.67  5.36 -0.02 -0.36  0.08
  1.53  6.21  0.75  5.43 -0.02 -0.37  0.07
  1.56  6.19  0.87  5.44 -0.02 -0.37  0.07
  1.59  6.16  1.00  5.44 -0.02 -0.37  0.07
  1.63  6.14  1.12  5.45 -0.02 -0.37  0.07
  1.67  6.13  1.25  5.45 -0.02 -0.37  0.07
  1.71  6.12  1.38  5.45 -0.02 -0.37  0.07
  1.75  6.11  1.51  5.45 -0.02 -0.37  0.07
  1.79  6.11  1.64  5.45 -0.02 -0.37  0.07
  1.83  6.12  1.76  5.45 -0.02 -0.37  0.07
  1.87  6.13  1.89  5.45 -0.02 -0.37  0.07
  1.91  6.14  2.02  5.45 -0.02 -0.37  0.07
  1.94  6.16  2.15  5.44 -0.02 -0.37  0.07
  1.98  6.19  2.28  5.44 -0.02 -0.37  0.07
  2.01  6.22  2.41  5.44 -0.02 -0.37  0.07
  2.03  6.25  2.53  5.43 -0.02 -0.37  0.07
  2.06  0.01  2.66  5.42 -0.02 -0.37  0.07
  2.08  0.05  2.79  5.42 -0.02 -0.37  0.07
  2.09  0.09  2.92  5.41 -0.02 -0.37  0.07
  2.10  0.14  3.05  5.40 -0.02 -0.37  0.07
  2.11  0.18  3.18  5.39 -0.02 -0.37  0.07
  2.10  0.23  3.30  5.38 -0.02 -0.37  0.07
  2.10  0.28  3.43  5.37 -0.02 -0.37  0.07
  2.08  0.33  3.56  5.36 -0.02 -0.37  0.07
  2.07  0.37  3.69  5.34 -0.02 -0.37  0.07
  2.04  0.41  3.82  5.33 -0.02 -0.37  0.07
  2.01  0.45  3.94  5.32 -0.02 -0.37  0.07
  1.98  0.48  4.07  5.31 -0.02 -0.37  0.07
  1.94  0.50  4.20  5.30 -0.02 -0.37  0.07
  1.90  0.53  4.33  5.30 -0.02 -0.37  0.07
  1.86  0.54  4.46  5.29 -0.02 -0.37  0.07
  1.81  0.55  4.59  5.29 -0.02 -0.37  0.07
  1.77  0.55  4.71  5.29 -0.02 -0.37  0.07
  1.72  0.55  4.84  5.29 -0.02 -0.37  0.07
  1.68  0.54  4.97  5.29 -0.02 -0.37  0.07
  1.63  0.53  5.10  5.30 -0.02 -0.37  0.07
  1.59  0.50  5.23  5.30 -0.02 -0.37  0.07
  1.55  0.48  5.35  5.31 -0.02 -0.37  0.07
  1.52  0.45  5.48  5.32 -0.02 -0.37  0.07
  1.49  0.41  5.61  5.33 -0.02 -0.37  0.07
  1.47  0.37  5.74  5.34 -0.02 -0.37  0.07
  1.45  0.32  5.87  5.36 -0.02 -0.37  0.07
  1.44  0.28  6.00  5.37 -0.02 -0.37  0.07
  1.43  0.23  6.12  5.38 -0.02 -0.37  0.07
  1.43  0.18  6.25  5.39 -0.02 -0.37  0.07
  1.43  0.14  0.10  5.40 -0.02 -0.37  0.07
  1.44  0.09  0.23  5.41 -0.02 -0.37  0.07
  1.46  0.05  0.35  5.42 -0.02 -0.37  0.07
  1.48  0.00  0.48  5.42 -0.02 -0.37  0.07
  1.50  6.25  0.61  5.43 -0.02 -0.37  0.07
  1.59  6.24  0.67  5.48 -0.02 -0.37  0.10
  1.61  6.23  0.74  5.50 -0.02 -0.37  0.10
  1.64  6.21  0.86  5.51 -0.02 -0.37  0.10
  1.67  6.18  0.99  5.51 -0.02 -0.37  0.10
  1.70  6.17  1.12  5.52 -0.02 -0.37  0.10
  1.74  6.15  1.24  5.52 -0.02 -0.37  0.10
  1.77  6.14  1.37  5.52 -0.02 -0.37  0.10
  1.81  6.14  1.50  5.52 -0.02 -0.37  0.10
  1.85  6.14  1.63  5.52 -0.02 -0.37  0.10
  1.88  6.14  1.76  5.52 -0.02 -0.37  0.10
  1.92  6.15  1.88  5.52 -0.02 -0.37  0.10
  1.96  6.16  2.01  5.52 -0.02 -0.37  0.10
  1.99  6.18  2.14  5.51 -0.02 -0.37  0.10
  2.02  6.21  2.27  5.51 -0.02 -0.37  0.10
  2.05  6.23  2.40  5.51 -0.02 -0.37  0.10
  2.08  6.26  2.53  5.50 -0.02 -0.37  0.10
  2.10  0.01  2.65  5.49 -0.02 -0.37  0.10
  2.12  0.05  2.78  5.49 -0.02 -0.37  0.10
  2.13  0.09  2.91  5.48 -0.02 -0.37  0.10
  2.14  0.13  3.04  5.47 -0.02 -0.37  0.10
  2.14  0.18  3.17  5.46 -0.02 -0.37  0.10
  2.14  0.22  3.30  5.45 -0.02 -0.37  0.10
  2.14  0.26  3.42  5.44 -0.02 -0.37  0.10
  2.13  0.31  3.55  5.43 -0.02 -0.37  0.10
  2.11  0.35  3.68  5.41 -0.02 -0.37  0.10
  2.09  0.39  3.81  5.40 -0.02 -0.37  0.10
  2.06  0.42  3.94  5.39 -0.02 -0.37  0.10
  2.03  0.45  4.06  5.38 -0.02 -0.37  0.10
  2.00  0.48  4.19  5.37 -0.02 -0.37  0.10
  1.96  0.50  4.32  5.37 -0.02 -0.37  0.10
  1.92  0.51  4.45  5.36 -0.02 -0.37  0.10
  1.88  0.52  4.58  5.36 -0.02 -0.37  0.10
  1.83  0.52  4.71  5.36 -0.02 -0.37  0.10
  1.79  0.52  4.83  5.36 -0.02 -0.37  0.10
  1.75  0.51  4.96  5.36 -0.02 -0.37  0.10
  1.71  0.50  5.09  5.37 -0.02 -0.37  0.10
  1.67  0.48  5.22  5.37 -0.02 -0.37  0.10
  1.63  0.45  5.35  5.38 -0.02 -0.37  0.10
  1.60  0.42  5.47  5.39 -0.02 -0.37  0.10
  1.58  0.39  5.60  5.40 -0.02 -0.37  0.10
  1.55  0.35  5.73  5.41 -0.02 -0.37  0.10
  1.54  0.31  5.86  5.42 -0.02 -0.37  0.10
  1.53  0.27  5.99  5.44 -0.02 -0.37  0.10
  1.52  0.22  6.12  5.45 -0.02 -0.37  0.10
  1.52  0.18  6.24  5.46 -0.02 -0.37  0.10
  1.52  0.14  0.09  5.47 -0.02 -0.37  0.10
  1.53  0.09  0.22  5.48 -0.02 -0.37  0.10
  1.54  0.05  0.35  5.49 -0.02 -0.37  0.10
  1.56  0.02  0.47  5.49 -0.02 -0.37  0.10
  1.58  6.27  0.60  5.50 -0.02 -0.37  0.10
  1.67  6.27  0.65  5.58 -0.02 -0.37  0.12
  1.70  6.26  0.72  5.60 -0.02 -0.37  0.12
  1.72  6.24  0.85  5.61 -0.02 -0.37  0.12
  1.75  6.22  0.97  5.61 -0.02 -0.37  0.12
  1.78  6.20  1.10  5.61 -0.02 -0.37  0.12
  1.81  6.19  1.23  5.62 -0.02 -0.37  0.12
  1.84  6.18  1.36  5.62 -0.02 -0.37  0.12
  1.87  6.17  1.49  5.62 -0.02 -0.37  0.12
  1.90  6.17  1.61  5.62 -0.02 -0.37  0.12
  1.94  6.18  1.74  5.62 -0.02 -0.37  0.12
  1.97  6.18  1.87  5.62 -0.02 -0.37  0.12
  2.00  6.20  2.00  5.62 -0.02 -0.37  0.12
  2.03  6.21  2.13  5.61 -0.02 -0.37  0.12
  2.06  6.23  2.25  5.61 -0.02 -0.37  0.12
  2.08  6.25  2.38  5.60 -0.02 -0.37  0.12
  2.11  6.28  2.51  5.60 -0.02 -0.37  0.12
  2.13  0.02  2.64  5.59 -0.02 -0.37  0.12
  2.14  0.06  2.77  5.58 -0.02 -0.37  0.12
  2.16  0.09  2.90  5.58 -0.02 -0.37  0.12
  2.17  0.13  3.02  5.57 -0.02 -0.37  0.12
  2.17  0.17  3.15  5.56 -0.02 -0.37  0.12
  2.17  0.20  3.28  5.55 -0.02 -0.37  0.12
  2.17  0.24  3.41  5.54 -0.02 -0.37  0.12
  2.16  0.28  3.54  5.52 -0.02 -0.37  0.12
  2.14  0.32  3.67  5.51 -0.02 -0.37  0.12
  2.13  0.35  3.79  5.50 -0.02 -0.37  0.12
  2.10  0.38  3.92  5.49 -0.02 -0.37  0.12
  2.08  0.41  4.05  5.48 -0.02 -0.37  0.12
  2.05  0.44  4.18  5.47 -0.02 -0.37  0.12
  2.01  0.46  4.31  5.47 -0.02 -0.37  0.12
  1.98  0.47  4.43  5.46 -0.02 -0.37  0.12
  1.94  0.48  4.56  5.46 -0.02 -0.37  0.12
  1.90  0.48  4.69  5.46 -0.02 -0.37  0.12
  1.86  0.48  4.82  5.46 -0.02 -0.37  0.12
  1.82  0.47  4.95  5.46 -0.02 -0.37  0.12
  1.79  0.46  5.08  5.46 -0.02 -0.37  0.12
  1.75  0.44  5.20  5.47 -0.02 -0.37  0.12
  1.72  0.42  5.33  5.48 -0.02 -0.37  0.12
  1.69  0.39  5.46  5.49 -0.02 -0.37  0.12
  1.67  0.36  5.59  5.50 -0.02 -0.37  0.12
  1.65  0.33  5.72  5.51 -0.02 -0.37  0.12
  1.63  0.29  5.85  5.52 -0.02 -0.37  0.12
  1.62  0.26  5.97  5.53 -0.02 -0.37  0.12
  1.62  0.22  6.10  5.54 -0.02 -0.37  0.12
  1.62  0.18  6.23  5.55 -0.02 -0.37  0.12
  1.62  0.14  0.07  5.56 -0.02 -0.37  0.12
  1.63  0.10  0.20  5.57 -0.02 -0.37  0.12
  1.64  0.07  0.33  5.58 -0.02 -0.37  0.12
  1.66  0.03  0.46  5.59 -0.02 -0.37  0.12
  1.67  0.00  0.59  5.60 -0.02 -0.37  0.12
  1.77  0.02  0.63  5.71 -0.02 -0.37  0.14
  1.79  0.01  0.71  5.74 -0.02 -0.37  0.15
  1.81  6.28  0.83  5.74 -0.02 -0.37  0.15
  1.83  6.26  0.96  5.75 -0.02 -0.37  0.15
  1.86  6.25  1.09  5.75 -0.02 -0.37  0.15
  1.88  6.24  1.21  5.75 -0.02 -0.37  0.15
  1.91  6.23  1.34  5.76 -0.02 -0.37  0.15
  1.93  6.22  1.47  5.76 -0.02 -0.37  0.15
  1.96  6.22  1.60  5.76 -0.02 -0.37  0.15
  1.98  6.23  1.73  5.76 -0.02 -0.37  0.15
  2.01  6.23  1.85  5.76 -0.02 -0.37  0.15
  2.04  6.24  1.98  5.75 -0.02 -0.37  0.15
  2.06  6.25  2.11  5.75 -0.02 -0.37  0.15
  2.08  6.27  2.24  5.75 -0.02 -0.37  0.15
  2.10  0.00  2.37  5.74 -0.02 -0.37  0.15
  2.12  0.02  2.50  5.74 -0.02 -0.37  0.15
  2.14  0.04  2.62  5.73 -0.02 -0.37  0.15
  2.15  0.07  2.75  5.72 -0.02 -0.37  0.15
  2.17  0.10  2.88  5.71 -0.02 -0.37  0.15
  2.17  0.12  3.01  5.70 -0.02 -0.37  0.15
  2.18  0.16  3.14  5.69 -0.02 -0.37  0.15
  2.18  0.19  3.26  5.68 -0.02 -0.37  0.15
  2.18  0.22  3.39  5.67 -0.02 -0.37  0.15
  2.17  0.25  3.52  5.66 -0.02 -0.37  0.15
  2.16  0.28  3.65  5.65 -0.02 -0.37  0.15
  2.15  0.31  3.78  5.64 -0.02 -0.37  0.15
  2.13  0.34  3.91  5.63 -0.02 -0.37  0.15
  2.11  0.36  4.03  5.62 -0.02 -0.37  0.15
  2.08  0.38  4.16  5.61 -0.02 -0.37  0.15
  2.06  0.40  4.29  5.60 -0.02 -0.37  0.15
  2.03  0.41  4.42  5.60 -0.02 -0.37  0.15
  2.00  0.42  4.55  5.60 -0.02 -0.37  0.15
  1.96  0.43  4.68  5.59 -0.02 -0.37  0.15
  1.93  0.43  4.80  5.59 -0.02 -0.37  0.15
  1.90  0.42  4.93  5.60 -0.02 -0.37  0.15
  1.87  0.41  5.06  5.60 -0.02 -0.37  0.15
  1.84  0.39  5.19  5.61 -0.02 -0.37  0.15
  1.81  0.37  5.32  5.62 -0.02 -0.37  0.15
  1.79  0.35  5.44  5.62 -0.02 -0.37  0.15
  1.77  0.33  5.57  5.63 -0.02 -0.37  0.15
  1.75  0.30  5.70  5.65 -0.02 -0.37  0.15
  1.74  0.27  5.83  5.66 -0.02 -0.37  0.15
  1.73  0.24  5.96  5.67 -0.02 -0.37  0.15
  1.73  0.20  6.09  5.68 -0.02 -0.37  0.15
  1.73  0.17  6.21  5.69 -0.02 -0.37  0.15
  1.73  0.14  0.06  5.70 -0.02 -0.37  0.15
  1.74  0.11  0.19  5.71 -0.02 -0.37  0.15
  1.75  0.08  0.32  5.72 -0.02 -0.37  0.15
  1.76  0.06  0.44  5.72 -0.02 -0.37  0.15
  1.77  0.03  0.57  5.73 -0.02 -0.37  0.15
  1.88  0.06  0.62  5.90 -0.02 -0.37  0.17
