SN119
931 	-507 	-307 	14885 	-12784 	-343 	
16631 	230 	136 	-7092 	-6761 	411 	
993 	498 	306 	-12746 	14284 	305 	
-14751 	-192 	-157 	8300 	9075 	-318 	
1878 	-11736 	-12750 	-1082 	-1094 	-10751 	
21743 	34 	-1466 	-10741 	-11008 	1930 	
2412 	11706 	10117 	-1084 	-1100 	13498 	
165 	-13228 	-10733 	-1710 	1244 	-11357 	
317 	104 	2290 	-19036 	18501 	2058 	
-197 	10213 	12250 	-1024 	1475 	12757 	
-1667 	-11801 	-10300 	529 	861 	-13321 	
-21130 	-548 	715 	10458 	10580 	-1909 	
-1823 	11652 	12624 	1238 	850 	10776 	
-126 	-10361 	-12255 	1081 	-1241 	-12982 	
-248 	1125 	-770 	19444 	-18813 	-1028 	
-40 	13101 	10689 	1579 	-1282 	11221 	
-4547 	-67 	127 	-4147 	-3907 	-58 	
3606 	9 	-113 	5524 	3660 	-4 	
5998 	-175 	-6057 	-3030 	-2944 	5825 	
-6024 	-671 	5128 	3146 	3065 	-6575 	
-3555 	5211 	-781 	6951 	-3239 	-6910 	
3410 	-5896 	75 	-6527 	3191 	6047 	
-3013 	-6115 	5825 	-3059 	6219 	-53 	
3143 	5366 	-6349 	3156 	-6222 	-691 	
2000
4000
