  0.000   0.000   0.000   0.000   0.000 
  0.025  -0.006   0.029  -0.191   1.327 
  0.050  -0.010   0.069  -0.096   1.620 
  0.075  -0.011   0.110   0.070   1.630 
  0.100  -0.007   0.151   0.246   1.567 
  0.125   0.001   0.189   0.415   1.488 
  0.150   0.014   0.225   0.574   1.411 
  0.175   0.030   0.260   0.720   1.337 
  0.200   0.050   0.292   0.853   1.269 
  0.225   0.072   0.323   0.974   1.205 
  0.250   0.098   0.352   1.083   1.146 
  0.275   0.126   0.380   1.179   1.090 
  0.300   0.157   0.407   1.263   1.038 
  0.325   0.189   0.432   1.335   0.990 
  0.350   0.224   0.456   1.396   0.944 
  0.375   0.259   0.480   1.445   0.901 
  0.400   0.296   0.502   1.483   0.860 
  0.425   0.333   0.523   1.510   0.822 
  0.450   0.371   0.543   1.527   0.786 
  0.475   0.410   0.562   1.535   0.752 
  0.500   0.448   0.580   1.533   0.720 
  0.525   0.486   0.598   1.523   0.689 
  0.550   0.524   0.615   1.504   0.660 
  0.575   0.561   0.631   1.477   0.632 
  0.600   0.598   0.646   1.444   0.605 
  0.625   0.633   0.661   1.404   0.579 
  0.650   0.668   0.675   1.359   0.553 
  0.675   0.701   0.689   1.308   0.528 
  0.700   0.733   0.702   1.252   0.503 
  0.725   0.764   0.714   1.193   0.479 
  0.750   0.793   0.726   1.130   0.455 
  0.775   0.820   0.737   1.064   0.431 
  0.800   0.846   0.747   0.996   0.406 
  0.825   0.870   0.757   0.926   0.382 
  0.850   0.892   0.766   0.855   0.358 
  0.875   0.913   0.775   0.783   0.334 
  0.900   0.932   0.783   0.711   0.310 
  0.925   0.948   0.790   0.639   0.286 
  0.950   0.963   0.797   0.567   0.262 
  0.975   0.977   0.804   0.497   0.238 
  1.000   0.988   0.809   0.427   0.214 
  1.025   0.998   0.814   0.360   0.191 
  1.050   1.006   0.819   0.294   0.168 
  1.075   1.013   0.823   0.231   0.145 
  1.100   1.018   0.826   0.169   0.123 
  1.125   1.021   0.829   0.111   0.102 
  1.150   1.023   0.831   0.055   0.082 
  1.175   1.024   0.833   0.002   0.062 
  1.200   1.024   0.834  -0.047   0.043 
  1.225   1.022   0.835  -0.094   0.026 
  1.250   1.019   0.836  -0.137   0.009 
  1.275   1.015   0.836  -0.177  -0.006 
  1.300   1.010   0.835  -0.213  -0.020 
  1.325   1.004   0.835  -0.247  -0.033 
  1.350   0.998   0.834  -0.277  -0.045 
  1.375   0.991   0.832  -0.304  -0.056 
  1.400   0.983   0.831  -0.327  -0.065 
  1.425   0.974   0.829  -0.348  -0.074 
  1.450   0.965   0.827  -0.365  -0.081 
  1.475   0.956   0.825  -0.380  -0.087 
  1.500   0.946   0.823  -0.392  -0.092 
  1.525   0.936   0.820  -0.400  -0.096 
  1.550   0.926   0.818  -0.407  -0.099 
  1.575   0.916   0.815  -0.411  -0.101 
  1.600   0.906   0.813  -0.412  -0.103 
  1.625   0.896   0.810  -0.411  -0.103 
  1.650   0.885   0.808  -0.409  -0.103 
  1.675   0.875   0.805  -0.404  -0.102 
  1.700   0.865   0.803  -0.397  -0.101 
  1.725   0.855   0.800  -0.389  -0.099 
  1.750   0.846   0.798  -0.379  -0.096 
  1.775   0.836   0.795  -0.368  -0.093 
  1.800   0.827   0.793  -0.356  -0.090 
  1.825   0.819   0.791  -0.342  -0.086 
  1.850   0.810   0.789  -0.328  -0.082 
  1.875   0.802   0.787  -0.313  -0.078 
  1.900   0.795   0.785  -0.297  -0.074 
  1.925   0.787   0.783  -0.280  -0.069 
  1.950   0.781   0.781  -0.263  -0.065 
  1.975   0.774   0.780  -0.246  -0.060 
  2.000   0.768   0.778  -0.228  -0.055 
  2.025   0.763   0.777  -0.210  -0.051 
  2.050   0.758   0.776  -0.192  -0.046 
  2.075   0.753   0.775  -0.175  -0.041 
  2.100   0.749   0.774  -0.157  -0.037 
  2.125   0.745   0.773  -0.140  -0.032 
  2.150   0.742   0.772  -0.123  -0.028 
  2.175   0.739   0.771  -0.106  -0.024 
  2.200   0.737   0.771  -0.090  -0.019 
  2.225   0.735   0.770  -0.074  -0.016 
  2.250   0.733   0.770  -0.059  -0.012 
  2.275   0.732   0.770  -0.044  -0.008 
  2.300   0.731   0.770  -0.030  -0.005 
  2.325   0.730   0.770  -0.017  -0.001 
  2.350   0.730   0.770  -0.004   0.002 
  2.375   0.730   0.770   0.008   0.005 
  2.400   0.730   0.770   0.019   0.008 
  2.425   0.731   0.770   0.029   0.010 
  2.450   0.732   0.770   0.039   0.012 
  2.475   0.733   0.771   0.048   0.015 
  2.500   0.734   0.771   0.056   0.017 
  2.525   0.736   0.772   0.063   0.018 
  2.550   0.737   0.772   0.070   0.020 
  2.575   0.739   0.773   0.075   0.021 
  2.600   0.741   0.773   0.080   0.023 
  2.625   0.743   0.774   0.085   0.024 
  2.650   0.745   0.774   0.088   0.024 
  2.675   0.748   0.775   0.091   0.025 
  2.700   0.750   0.776   0.094   0.026 
  2.725   0.752   0.776   0.095   0.026 
  2.750   0.755   0.777   0.096   0.026 
  2.775   0.757   0.778   0.097   0.026 
  2.800   0.759   0.778   0.097   0.026 
  2.825   0.762   0.779   0.096   0.026 
  2.850   0.764   0.779   0.095   0.026 
  2.875   0.767   0.780   0.094   0.025 
  2.900   0.769   0.781   0.092   0.025 
  2.925   0.771   0.781   0.090   0.024 
  2.950   0.773   0.782   0.087   0.024 
  2.975   0.776   0.783   0.084   0.023 
  3.000   0.778   0.783   0.081   0.022 
  3.025   0.780   0.784   0.078   0.021 
  3.050   0.782   0.784   0.074   0.020 
  3.075   0.783   0.785   0.070   0.019 
  3.100   0.785   0.785   0.066   0.018 
  3.125   0.787   0.786   0.062   0.017 
  3.150   0.788   0.786   0.058   0.016 
  3.175   0.790   0.786   0.054   0.015 
  3.200   0.791   0.787   0.050   0.014 
  3.225   0.792   0.787   0.046   0.013 
  3.250   0.793   0.787   0.041   0.011 
  3.275   0.794   0.788   0.037   0.010 
  3.300   0.795   0.788   0.033   0.009 
  3.325   0.796   0.788   0.029   0.008 
  3.350   0.796   0.788   0.025   0.007 
  3.375   0.797   0.788   0.021   0.006 
  3.400   0.798   0.789   0.017   0.005 
  3.425   0.798   0.789   0.014   0.004 
  3.450   0.798   0.789   0.010   0.003 
  3.475   0.798   0.789   0.007   0.002 
  3.500   0.799   0.789   0.004   0.001 
  3.525   0.799   0.789   0.001   0.000 
  3.550   0.799   0.789  -0.002   0.000 
  3.575   0.799   0.789  -0.005  -0.001 
  3.600   0.798   0.789  -0.007  -0.002 
  3.625   0.798   0.789  -0.009  -0.002 
  3.650   0.798   0.789  -0.012  -0.003 
  3.675   0.798   0.789  -0.013  -0.004 
  3.700   0.797   0.789  -0.015  -0.004 
  3.725   0.797   0.788  -0.017  -0.004 
  3.750   0.796   0.788  -0.018  -0.005 
  3.775   0.796   0.788  -0.019  -0.005 
  3.800   0.795   0.788  -0.020  -0.005 
  3.825   0.795   0.788  -0.021  -0.006 
  3.850   0.794   0.788  -0.022  -0.006 
  3.875   0.794   0.788  -0.022  -0.006 
  3.900   0.793   0.788  -0.023  -0.006 
  3.925   0.793   0.787  -0.023  -0.006 
  3.950   0.792   0.787  -0.023  -0.006 
  3.975   0.792   0.787  -0.023  -0.006 
  4.000   0.791   0.787  -0.023  -0.006 
